2,0,0,1,1,1,2,10,0.5,1,1,1,0,0,0,1,1,1,0,10,0,1,1,1,
1,1,0,0.9,1,1,1,1,0,0.9,1,1,
1,1,0,0.9,1.1,1,1,1,0,0.9,1.1,1,
1,1,1,0.9,1.1,1,1,1,0,0.9,1.21,1,
1,1,-1,0.9,1.1,1,1,1,0,0.9,1.331,1,
1.9,1,0,0.9,1.1,0.9,1,1,1,0.9,1.331,1,
0.1,1,0,0.9,1.1,0.9,1,1,-1,0.9,1.331,1,
1,2.1,0,0.81,1.1,0.9,1.9,1,0,0.9,1.331,0.9,
1,-0.1,0,0.81,1.1,0.9,0.1,1,0,0.9,1.331,0.9,
1,1,0.9,0.81,0.99,0.9,0.1,1,0,0.99,1.331,0.9,
1,1,-0.9,0.81,0.99,0.9,0.1,2.331,0,0.99,1.331,0.9,
1.81,1,0,0.81,0.99,0.81,0.1,-0.331,0,0.99,1.331,0.9,
0.19,1,0,0.81,0.99,0.81,0.1,-0.331,0,0.99,1.4641,0.9,
1,1.99,0,0.729,0.99,0.81,0.1,-0.331,0,0.99,1.61051,0.9,
1,0.01,0,0.729,0.99,0.81,0.1,-0.331,0.9,0.99,1.61051,0.9,
1,1,0.81,0.729,0.891,0.81,0.1,-0.331,-0.9,0.99,1.61051,0.9,
1,1,-0.81,0.729,0.891,0.81,1.09,-0.331,0,0.99,1.61051,0.81,
1.729,1,0,0.729,0.891,0.729,-0.89,-0.331,0,0.99,1.61051,0.81,
0.271,1,0,0.729,0.891,0.729,0.1,1.27951,0,0.891,1.61051,0.81,
1,1.891,0,0.6561,0.891,0.729,0.1,-1.94151,0,0.891,1.61051,0.81,
1,0.109,0,0.6561,0.891,0.729,0.1,-0.331,0.81,0.891,1.44946,0.81,
1,1,0.729,0.6561,0.8019,0.729,0.1,-0.331,-0.81,0.891,1.44946,0.81,
1,1,-0.729,0.6561,0.8019,0.729,0.991,-0.331,0,0.891,1.44946,0.729,
1.6561,1,0,0.6561,0.8019,0.6561,-0.791,-0.331,0,0.891,1.44946,0.729,
0.3439,1,0,0.6561,0.8019,0.6561,0.1,1.11846,0,0.8019,1.44946,0.729,
1,1.8019,0,0.59049,0.8019,0.6561,0.1,-1.78046,0,0.8019,1.44946,0.729,
1,0.1981,0,0.59049,0.8019,0.6561,0.1,-0.331,0.729,0.8019,1.30451,0.729,
1,1,0.6561,0.59049,0.72171,0.6561,0.1,-0.331,-0.729,0.8019,1.30451,0.729,
1,1,-0.6561,0.59049,0.72171,0.6561,0.9019,-0.331,0,0.8019,1.30451,0.6561,
1.59049,1,0,0.59049,0.72171,0.59049,-0.7019,-0.331,0,0.8019,1.30451,0.6561,
0.40951,1,0,0.59049,0.72171,0.59049,0.1,0.973513,0,0.72171,1.30451,0.6561,
1,1.72171,0,0.531441,0.72171,0.59049,0.1,-1.63551,0,0.72171,1.30451,0.6561,
1,0.27829,0,0.531441,0.72171,0.59049,0.1,-0.331,0.6561,0.72171,1.17406,0.6561,
1,1,0.59049,0.531441,0.649539,0.59049,0.1,-0.331,-0.6561,0.72171,1.17406,0.6561,
